[2025-08-25 22:01:58][INFO][scraper] 【リスト並べ替え前】：[(datetime.datetime(2025, 7, 9, 1, 0), 23), (datetime.datetime(2025, 7, 9, 0, 30), 23), (datetime.datetime(2025, 7, 12, 2, 43), 23), (datetime.datetime(2025, 7, 9, 0, 30), 19.5), (datetime.datetime(2025, 7, 9, 2, 43), 19.5), (datetime.datetime(2025, 7, 9, 1, 0), 19.5), (datetime.datetime(2025, 7, 9, 0, 0), 19), (datetime.datetime(2025, 7, 12, 0, 0), 19), (datetime.datetime(2025, 7, 9, 0, 0), 19)]
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=2, datetime=2025-07-09 01:00:00, score=23, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=4, datetime=2025-07-09 00:30:00, score=23, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=4, datetime=2025-07-12 02:43:00, score=23, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=5, datetime=2025-07-09 00:30:00, score=19.5, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=5, datetime=2025-07-09 02:43:00, score=19.5, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=5, datetime=2025-07-09 01:00:00, score=19.5, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=6, datetime=2025-07-09 00:00:00, score=19, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=6, datetime=2025-07-12 00:00:00, score=19, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=6, datetime=2025-07-09 00:00:00, score=19, context=tvk（テレビ神奈川） 7月9日より　毎週水曜24:30～ CBCテレビ 7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム
[2025-08-25 22:01:58][INFO][scraper] 【リスト並べ替え前】：[(datetime.datetime(2025, 7, 9, 1, 0), 23), (datetime.datetime(2025, 7, 9, 0, 30), 23), (datetime.datetime(2025, 7, 12, 2, 43), 23), (datetime.datetime(2025, 7, 9, 0, 30), 19.5), (datetime.datetime(2025, 7, 9, 2, 43), 19.5), (datetime.datetime(2025, 7, 9, 1, 0), 19.5), (datetime.datetime(2025, 7, 9, 0, 0), 19), (datetime.datetime(2025, 7, 12, 0, 0), 19), (datetime.datetime(2025, 7, 9, 0, 0), 19)]
[2025-08-25 22:01:58][DEBUG][scraper] Matched pattern ID=2, datetime=2025-07-09 01:00:00, score=23, context=7月12日より　毎週土曜26:43～ STREAMING dアニメストア・アニメタイムズにて、最速先行配信！ プラットフォーム 配信開始日 dアニメストア 7月9日（水）25時00分～ ※最速配信 ア
